Invoice Number,Vendor,Amount
INV-000808,Cyberdyne Systems,276.48
INV-000809,Massive Dynamic,369.86
INV-000810,,274.47
INV-000811,Wayne Enterprises,254.04
INV-000812,Cyberdyne Systems,388.57
INV-000813,Cyberdyne Systems,960.27
INV-000814,Acme Corp,172.29
INV-000815,Soylent Corp,257.95
INV-000816,Cyberdyne Systems,826.69
INV-000817,Globex,206.27
INV-000818,Wayne Enterprises,725.41
INV-000819,Globex,400.25
INV-000820,Acme Corp,142.81
INV-000821,,441.74
INV-000822,Globex,814.44
INV-000823,Wayne Enterprises,697.97
INV-000824,Soylent Corp,401.26
INV-000825,Massive Dynamic,843.97
INV-000826,Massive Dynamic,268.72
INV-000827,Cyberdyne Systems,551.49
INV-000828,Soylent Corp,741.66
INV-000829,Massive Dynamic,955.32
INV-000830,Acme Corp,823.05
INV-000831,Cyberdyne Systems,355.55
INV-000832,Cyberdyne Systems,190.63
INV-000833,Soylent Corp,162.51
INV-000834,Soylent Corp,706.02
INV-000835,Initech,364.01
INV-000836,Acme Corp,475.33
INV-000837,Acme Corp,482.36
INV-000838,Cyberdyne Systems,584.35
INV-000839,Soylent Corp,204.32
INV-000840,,976.71
INV-000841,Acme Corp,313.43
INV-000842,Globex,87.21
INV-000843,Initech,312.27
INV-000844,Acme Corp,942.46
INV-000845,Stark Industries,390.61
INV-000846,Cyberdyne Systems,278.07
INV-000847,Soylent Corp,390.43
INV-000848,Massive Dynamic,924.41
INV-000849,Massive Dynamic,208.89
INV-000850,Globex,736.76
INV-000851,Soylent Corp,222.33
INV-000852,Initech,483.14
INV-000853,Globex,29.61
INV-000854,Massive Dynamic,843.47
INV-000855,Initech,314.74
INV-000856,Initech,840.75
INV-000857,Acme Corp,609.64
INV-000858,Massive Dynamic,45.54
INV-000859,Cyberdyne Systems,168.31
INV-000860,Soylent Corp,328.26
INV-000861,Acme Corp,273.22
INV-000862,Massive Dynamic,556.65
INV-000863,Initech,732.10
INV-000864,,850.89
INV-000865,Massive Dynamic,371.12
INV-000866,Initech,534.46
INV-000867,Acme Corp,50.31
INV-000868,Soylent Corp,284.75
INV-000869,Acme Corp,594.93
INV-000870,Massive Dynamic,32.75
INV-000871,Initech,799.33
INV-000872,Wayne Enterprises,360.97
INV-000873,Stark Industries,164.08
INV-000874,Initech,-394.49
INV-000875,Soylent Corp,17.51
INV-000876,Globex,786.31
INV-000877,Cyberdyne Systems,890.26
INV-000878,Stark Industries,723.60
INV-000879,Acme Corp,-285.64
INV-000880,Massive Dynamic,705.99
INV-000881,Globex,943.27
INV-000882,Massive Dynamic,680.22
INV-000883,Wayne Enterprises,520.32
INV-000884,Soylent Corp,533.32
INV-000885,Initech,862.70
INV-000886,Massive Dynamic,556.59
INV-000887,Cyberdyne Systems,634.82
INV-000888,Initech,610.64
INV-000889,Globex,-254.11
INV-000890,Cyberdyne Systems,561.79
INV-000891,Soylent Corp,602.86
INV-000892,Soylent Corp,315.69
INV-000893,Globex,949.82
INV-000894,Wayne Enterprises,181.08
INV-000895,Initech,896.57
INV-000896,Initech,469.22
INV-000897,Globex,988.45
INV-000898,Wayne Enterprises,892.82
INV-000899,Massive Dynamic,940.88
INV-000900,Massive Dynamic,312.34
INV-000901,Wayne Enterprises,35.86
INV-000902,Soylent Corp,403.54
INV-000903,Initech,808.37
INV-000904,Wayne Enterprises,462.96
INV-000905,Wayne Enterprises,309.41
INV-000906,Wayne Enterprises,29.67
INV-000907,Initech,726.56
INV-000908,Acme Corp,105.93
INV-000909,Cyberdyne Systems,557.65
INV-000910,Acme Corp,53.73
INV-000911,Globex,855.61
INV-000912,,597.94
INV-000913,Initech,77.71
INV-000914,Globex,334.46
INV-000915,Initech,221.88
INV-000916,Soylent Corp,44.31
INV-000917,Wayne Enterprises,204.23
INV-000918,Initech,810.70
INV-000919,Cyberdyne Systems,1005.82
INV-000920,Globex,775.52
INV-000921,Soylent Corp,-49.51
INV-000922,Wayne Enterprises,206.32
INV-000923,Initech,642.85
INV-000924,Massive Dynamic,815.07
INV-000925,Wayne Enterprises,521.74
INV-000926,Massive Dynamic,493.85
INV-000927,Stark Industries,923.56
INV-000928,Wayne Enterprises,186.14
INV-000929,Massive Dynamic,862.40
INV-000930,Soylent Corp,447.52
INV-000931,Wayne Enterprises,146.91
INV-000932,Wayne Enterprises,453.46
INV-000933,Soylent Corp,481.76
INV-000934,Massive Dynamic,21.49
INV-000935,Initech,448.84
INV-000936,Soylent Corp,-279.89
INV-000937,Stark Industries,586.14
INV-000938,Massive Dynamic,54.50
INV-000939,Cyberdyne Systems,513.61
INV-000940,Soylent Corp,829.70
INV-000941,Soylent Corp,961.01
INV-000942,Acme Corp,831.76
INV-000943,Acme Corp,665.25
INV-000944,Wayne Enterprises,256.60
INV-000945,,986.27
INV-000946,Wayne Enterprises,84.79
INV-000947,Stark Industries,1006.66
INV-000948,Globex,674.89
INV-000949,Cyberdyne Systems,755.10
INV-000950,Initech,978.03
INV-000951,Globex,23.99
INV-000952,Acme Corp,-89.78
INV-000953,Stark Industries,209.73
INV-000954,Stark Industries,933.76
INV-000955,Globex,607.23
INV-000956,Wayne Enterprises,200.42
INV-000957,Massive Dynamic,420.31
INV-000958,Massive Dynamic,564.63
INV-000959,Wayne Enterprises,291.57
INV-000960,Initech,239.17
INV-000961,Wayne Enterprises,808.79
INV-000962,Initech,470.43
INV-000963,Stark Industries,781.69
INV-000964,Soylent Corp,155.82
INV-000965,Initech,86.19
INV-000966,Initech,749.99
INV-000967,Wayne Enterprises,52.80
INV-000968,Wayne Enterprises,952.51
INV-000969,Soylent Corp,995.24
INV-000970,Stark Industries,426.19
INV-000971,Cyberdyne Systems,232.69
INV-000972,Massive Dynamic,885.45
INV-000973,Acme Corp,250.08
INV-000974,Cyberdyne Systems,700.92
INV-000975,Globex,639.71
INV-000976,Initech,104.94
INV-000977,Stark Industries,460.14
INV-000978,Soylent Corp,544.23
INV-000979,Globex,527.21
INV-000980,Stark Industries,282.89
INV-000981,Cyberdyne Systems,293.05
INV-000982,Cyberdyne Systems,837.03
INV-000983,Massive Dynamic,61.85
INV-000984,Massive Dynamic,1003.46
INV-000985,Stark Industries,508.51
INV-000986,Soylent Corp,957.05
INV-000987,Initech,836.91
INV-000988,,51.09
INV-000989,Massive Dynamic,44.96
INV-000990,Acme Corp,179.80
INV-000991,Cyberdyne Systems,98.11
INV-000992,Cyberdyne Systems,19.01
INV-000993,Acme Corp,83.40
INV-000994,Wayne Enterprises,872.07
INV-000995,Stark Industries,-256.21
INV-000996,Acme Corp,20.94
INV-000997,Cyberdyne Systems,557.72
INV-000998,Stark Industries,642.54
INV-000999,Initech,509.40
INV-001000,Stark Industries,799.93
